comment_bn,comment_en,source,arrogance_label,category
পরবর্তী ঢাকার মেয়র....,The next mayor of Dhaka...,YouTube,Non-arrogant,
পর্দা সীলহলে আরো বালো লাগত Nice pic,The screen seemed to seal more brightly. Nice pic.,YouTube,Non-arrogant,
তোর মুখ দেখেইতো খানকি খানকি লাগে বেশ্যাচুদি,"I'd look so hot on your face, bitch.",YouTube,Non-arrogant,
আবার কোনো ভুল করে থাকি মানে কি তুই তো করসই এখন মাগি ক্যারিয়ার বাচানোর জন্য ক্ষমা চাইছো কোনো ক্ষমা নাই তোর,"If I make another mistake, you're doing it. Now you're apologizing for saving Maggie's career.",Facebook,Non-arrogant,
পেন্টি পইজ্জে দে পল্লা,In the panty pajamas.,Facebook,Non-arrogant,
তোদের মতো নষ্ট মেয়ে কি করে পরো কালের বিশ্বাস করবে। দুনিয়াতে তোর ঠিকানা পতিতালয়ে আর পরকালে জাহান্নামে।,"How can a whore like you believe in the future, your address in the world is prostitution and your address in the afterlife is hell?",News portal,Arrogant,Contempt & Condescension
তোর লেভেল কোথায়?,Where's your level?,AI,Arrogant,Contempt & Condescension
আপনার সামনের বার সংসদ সদস্যের টিকেট কনফার্ম অন্তত এই নিউজের জন্যে।প্রধানমন্ত্রীর বকা খাইয়া সংবাদ সম্মেলনে আইসা বানোয়াট তথ্য ছড়াইতে না করে।,Your next congressman's ticket confirmation is for at least this news.,News portal,Arrogant,Contempt & Condescension
"ফেসবুক হ্যাক করার দায়ে আল্লাহ এর কাছে বিচার দিলেন? আপনি তো পরকালেই বিশ্বাসী নন। ইসলামের সাতটি মূলনীতির একটিতেও কেউ অবিশ্বাসী হলে সে কাফির হিসেবে পরিগণিত। আর হ্যাঁ, আমরা সকলেই জানি মহান আল্লাহ তায়ালা ক্ষমাশীল। কিন্তু তাই বলে একজন কাফিরকে আল্লাহ তায়ালা যে নিশ্চয়ই ক্ষমা করে দিবেন এ ব্যাপারে এতো নিশ্চিত হলেন কিভাবে? আপনিতো মহান আল্লাহ তায়ালাকে ভয় করেন না, ভয় করছেন মূলত ফেমাসিটি হারাবার।  এভার হারাবেন।","If you don't believe in any of the seven tenets of Islam, you are a disbeliever. And yes, we all know that Allah Ta'ala forgives. But how can you be so sure that Allah Ta'ala will forgive a disbeliever?",Facebook,Arrogant,Mixed / Other Arrogance
"বস্তুত ধর্ম হচ্ছে আইন, রাষ্ট্র আইন আরোপ করলে ধর্মের আর কোন লিগ্যাল স্ট্যাটাস থাকেনা৷ যেটা থাকে সেটা হচ্ছে ব্যাক্তিগত আচার বিশ্বাস৷ কে ধর্ম মানলো কি মানলো না, তার চেয়ে রাষ্ট্রের তরফ থেকে জরুরী হচ্ছে, কে আইন অমান্য করল৷.ব্যাক্তি হিসেবে সুনাগরিক হওয়া জরুরী৷ আপনি কতটুকু নামাজ পড়লেন, পূজা দিলেন, তারচেয়ে আপনি কতটুকু মানুষ হয়েছেন সেটা জরুরী৷ আপনি স্রষ্টাকে মানুন, পাশাপাশি মানুষের অধিকারকেও স্বীকার করুন৷ এই স্বীকৃতি জরুরী৷ মানুষ সৃষ্টির সর্বোচ্চ প্রজেক্ট৷ আপনি পৃথিবীর সব নাস্তিক হত্যা করলে ঘুরেফিরে স্রষ্টার সৃষ্টিই হত্যা করলেন৷ তাছাড়া সর্বোচ্চ বিচারের দিন বলেও একটা দিন আছে বিশ্বাসীদের জন্য৷ সেটার ফয়সালা দুনিয়াতে কেন করতে হবে? তাহলে কি স্রষ্টার বিচারে আস্থা রাখতে পারছেন না বিশ্বাসীরা৷?ভাবা জরুরী, ধর্ম একটা জ্ঞান, প্রজ্ঞা৷ পড়াশোনাকে প্রজ্ঞা পর্যন্ত নিয়ে যেতে যে নিষ্ঠা, মেধা প্রয়োজন, যে চিন্তার স্বাধীনতা প্রয়োজন, ততটুকু কি বিশ্বাসীদের আছে?? .পৃথিবীতে মানুষের কাজ কি? শুধু ধর্ম? নিশ্চয় নয়৷ ধর্ম গাইডলাইন, ধর্ম একটা রাস্তা৷ কেউ ঐ রাস্তার বাইরে হাটতে চাইলে তাকে হাটতে দেয়া উচিত৷ কেননা, স্রষ্টার সৃষ্টি","Religion is the law, and state law has no legal status. What exists is personal morality. Who obeys or does not obey religion is more important to the state than who violates the law. It is important to be a citizen as a person. It is important to know how much you pray, worship, and become a human being. It is important to recognize the Creator and to recognize that this recognition is the ultimate project of human creation.",Facebook,Arrogant,Knowledge & Moral Superiority
তুই কোন লেভেলে কথা বলছিস?,What level are you talking about?,AI,Arrogant,Contempt & Condescension
রাকিব ভাই লেখছে তোর মত নাস্তিক এই পৃথিবীতে কোন দরকার নাই মানুষের মরণ কামনা করা ঠিক না তবুও তাই করতে বাধ্য হচ্ছে আগে তো নাটক দেখতাম এখন আর দেখতে দেখা তো দূরে থাক তোর মতো শয়তান নামও শুনতে চাই না তাহলে বুঝেন আপনাদেরকে কত মানুষকে কষ্ট দিয়েছি,"Rakib wrote that there is no need for an atheist like you in this world, that people should not want to die, but I have to. I used to watch plays and now I want to watch them.",YouTube,Arrogant,Knowledge & Moral Superiority
"খুবই ভালো একটি গল্প, অনেক ভালো লেগেছে।❤","It's a very good story, I love it.",Facebook,Non-arrogant,
মাগির শরম নাই নেংটা হয়ে বসে আছে। এর চেয়ে কাপড় ছারাই পিক দিলে ফেন্ড ফলোয়ার বারতো,"Maggi's face is all black, and if you pick up the clothes, you'll get a fundraiser.",Facebook,Non-arrogant,
ইউরোপ  থেকে মহান বিজয় দিবসের শুভেচ্ছা,Greetings from Europe for the Day of the Great Victory,YouTube,Non-arrogant,
কুত্তার ফুড়ি তর ছেলে মেয়ে তকে বিশ্বাস করত নায় কারন তারা বলবে আমাদের জন্মের সময় তুমাকে দেখি নাই।,The motherfucking little girls didn't believe him because they said they didn't see you when we were born.,YouTube,Non-arrogant,
এভাবেই সবাইকে  বুকে আগলে রাখেন পরীমনি,"That's how you keep everyone in front of you, Peremoni.",Facebook,Non-arrogant,
গাইল্লাইয়া লাব নাই।আল্লাহ ওরে হেদায়েত দান করুন,Gillai has no lab. God guide him.,Facebook,Non-arrogant,
মাশায়াল্লাহ খুব সুন্দর লাগছে।,Mashallah is beautiful.,YouTube,Non-arrogant,
এই পাগল চলেনা,This guy's not crazy.,YouTube,Non-arrogant,
চুপ কুত্তার বাচ্চা তোর বাপ হলো কুত্তা তার মেয়ে তুই... মাগি কোথাকার,"Shut up, son of a bitch. Your father is his son of a bitch.",YouTube,Non-arrogant,
দুনিয়ার পাগল সব ১সাথে হইছে,The world's madmen are all together.,Facebook,Non-arrogant,
তুমি দুনিয়াতে কিভাবে আসলে তা কি দেখেছো? তাহলে বাবাকে বাবা আর মাকে মা বলো কেন? সত্যিকথা কি তোমার দেখা না দেখার উপর পরকালের কোন পরিবর্তন হবেনা।নাস্তিকিনি,"Why do you call your father father and your mother mother? The truth is, there is no change in the afterlife if you don't see them.",YouTube,Non-arrogant,
"তুই তোর বাপের টা দেখচত নিচে কি আছে,,,, সাফা কবির তিনি নাস্তিক এর পরিচয় টা দিয়ে দিলেন কেয়ামত আসবে এদের কারনেই নিজেদের মুসলিম দাবি করে কিভাবে লজ্জা হয়না","You've seen your father's underwear, the Safa poet, who introduced himself as an atheist to the coming of the Last Judgment.",News portal,Non-arrogant,
তোরে হিরো আলম বানাইছে কোন শালা রে দুনিয়ায় আর লোক খুজে পাই নি,You're the hero of a goddamn world I've never seen before.,YouTube,Non-arrogant,
মাগী একটা।,It's one of those.,Facebook,Non-arrogant,
আইসক্রিম পাগলি,The ice cream is crazy.,News portal,Non-arrogant,
আল্লাহ আপনার নাস্তিক থেকে ফিরিয়ে আনুক।,May God restore you from your atheist.,Facebook,Non-arrogant,
খুব সুন্দর কথা,That's very nice.,YouTube,Non-arrogant,
বালের বুবলি,Fucking bubble.,News portal,Non-arrogant,
নাস্তিক পরিবার দেখতে কেমন লাগছে,What does an atheist family look like?,YouTube,Non-arrogant,
মাইরালা,What is it?,Facebook,Non-arrogant,
তরে যে জন্ম দিছে তর বাপ তুই কি দেখছস... না দেখস নাই.তাহলে তুই জারজ অবৈধ সন্তান,"The father who gave birth to you, you don't see... you're an illegitimate child of George.",YouTube,Non-arrogant,
আপনার ছোট বোন হিসেবে একটা কথা বলতেছি।আপনি লাইভ এ কেন বললেন আপনি পরকাল বিশ্বাস করেন না?কেন জাতির কাছে নিজেকে নাস্তিক নামে পরিচয় দিলেন?সারা পৃথিবীতে প্রায় মুসলিম তারা তো কখনো বলে নি ইসলাম কে বিশ্বাস করে না*পরকালকে বিশ্বাস করে না।হ্যা আপনি এটাও বলছেন নিজের চোখে কোনো কিছু দেখা ছাড়া কিছুই বিশ্বাস kori na..apni jokon jormo niccen tokon apnr ma er kotota kosto hoicilo.r ekhon jdi apnr ammu apnk ei golpota bole apni apni bolben ami dekha chara ma tmr kota beleive kori na.plz porokal bissash koren.nijeke muslim dabi koren,"As your little sister, why did you say on live that you don't believe in the afterlife? Why did you introduce yourself to the nation as an atheist? Almost all Muslims in the world have never said they don't believe in Islam.",Facebook,Arrogant,Knowledge & Moral Superiority
আমি ছাড়া এই দল কোনো কামের নয়।,"Without me, this team is useless.",AI,Arrogant,Mixed / Other Arrogance
"ধন্যবাদ হিরু আলম ভাই।হালার পুত ছোট লোকের বাচ্চা জায়েদ খান, অহংকার করে কথা বলছিস, চেহারায় মানুষের গুন প্রকাশ পায় না, পায় তার গুনে। হিরু আলম কে শ্রোতারা যেমন ভালোবাসে তার আসনের জনগন ও ভালোবাসে, এমপি নির্বাচন করার যোগ্যতা আছে বলে এমপি নির্বাচন করবে এমন গুঞ্জন আলোচনা সারা দেশে । তুই ফহিনির পুত, এমপি নির্বাচন করবি মুখ থেকে বের করলে হাজার হাজার জুতা তর গালে মারবে।অহংকারীর পতন অনিবার্য,,,,,,","Thanks, Hiru Alam brother. The son of the young man of Hala, Zayed Khan, you speak proudly, the quality of the person does not show in the face, the quality of the feet.",News portal,Arrogant,Contempt & Condescension
নস্ট মাল,Nostalgia,Facebook,Non-arrogant,
ওই কুত্তা বাচ্চা।,That son of a bitch.,YouTube,Non-arrogant,
মাগিরে সবাই মিলে রাম চোদন দেন,"In Maghire, they all fuck Ram together.",Facebook,Non-arrogant,
সাফা মাগী দালালে ভরপুরসাফা মাগীর কমেন্ট বক্সে সাফা নাস্তিকের যারা সাপোর্ট করতেছেন তাদের বলছি দালাল গিরি না চোদাইয়া গুলিস্তানে হকার গিরি চোদাগা,"Safa's supporters of the Safa Atheist are called Safa's Atheists, who are called Safa's Atheists, who are called Safa's Atheists, who are called Safa's Atheists, who are called Safa's Atheists, who are called Safa's Atheists, who are called Safa's Atheists, who are called Safa's Atheists, who are called Safa's Atheists, who are called Safa's Atheists, who are called Safa's Atheists, who are called Safa's Atheists, who are called Safa's Atheists, who are called Safa's Atheists, who are called Safa's Atheists, who are called Safa's Atheists, who are called Safa's Atheists, who are called Safa's Atheists, who are called Safa's Atheists.",News portal,Non-arrogant,
মাশা আল্লাহ্‌!!!❤️❤️❤️,The Lord is my God!,Facebook,Non-arrogant,
নাস্তিকতা হল একদম খাঁটি মূরখতা।,Atheism is pure stupidity.,News portal,Non-arrogant,
শুভ কামনা সব সময় ভাইয়া ❤,Good wishes always brother ❤,YouTube,Non-arrogant,
"একজন অভিনেত্রী ও মডেল একটি রেডিও অনুষ্ঠানে বলেছেন-তিনি পরকালে বিশ্বাস করেন না। যা দেখেন না তা তিনি বিশ্বাস করেন না।তার এ কথায় কিছু মানুষেরর প্রতিক্রিয়া দেখে অবাক হইনি তবে দু:খ পেয়েছি।প্রথমত: মুসলিমদের মধ্যে সংশয়বাদিতা ও নিরব নাস্তিক্যবাদ দিনদিন প্রকট আকার ধারণ করেছে। শুধু উক্ত অভিনেতা একা নন, হাজার হাজার বরং লাখো লোক এখন সংশয়বাদি কিংবা সেমি বা সিকি নাস্তিক। সামাজিকতার ভয়ে মনের কথাগুলো তারা খুলে বলতে পারেন না। সুতরাং অভিনেতার প্রতি ক্ষোভ না ঝেড়ে মূল সমস্যাটা উপলব্ধি করার চেষ্টা করুন। এ ধরণের লোকদের সংশয়গুলো দুর করে ইসলামের প্রতি আস্থাশীল করতে আমরা কতোটা উদ্যোগী? আমরা বরাবর ব্যস্ত কেবল নিজেদের মধ্যে শক্তি ক্ষয়ের পেছনে।দ্বিতীয়ত: আলোচিত নারী পরকালকে বিশ্বাস করেন না বলে নিজের অবস্থান জানিয়েছেন। এ কারণে তাকে নিয়ে বাজে মন্তব্য করার কি কারণ থাকতে পারে? তাকে যথাযথভাবে ঈমানের পথে আহবান কিংবা যৌক্তিকভাবে তার কথা খণ্ডন না করে ব্যক্তিগত বিষয়ে বাজে মন্তব্য বা গালমন্দ করা ইসলামের কোন্ শিক্ষা? আল্লাহর ওয়াস্তে নিজের মূর্খতা নিয়ে ইসলামকে ডিফেন্ড করতে এসে ইসলামকে হেয় করবেন না। এছাড়া প্রতিবাদের নামে নিজের","One actress and model said on a radio show that she does not believe in the afterlife. She does not believe in what she does not see. I am not surprised by the reaction of some people, but I am saddened. Firstly: Skepticism and silent atheism have taken shape among Muslims. Not only the actors alone, but thousands of millions of people are now skeptical or semi- or Sikh atheists.",News portal,Arrogant,Knowledge & Moral Superiority
আল্লাহ্ আপনি এইসব অমানুস কে হেদায়েত দান করুন,"God, guide these people.",Facebook,Arrogant,Knowledge & Moral Superiority
তোর থেকে সানি লিওয় ই ভাল.. তুই গোপন বেশ্যা,"You're better than Sunny Leone, you're a secret whore.",Facebook,Non-arrogant,
আল্লাহ তায়ালা তুরে হেদায়েত দান করুক।,May Allah guide you in the right direction.,Facebook,Non-arrogant,
ওনেক ওনেক সুন্দর লাকছে তুমারে,"Oh, my God, you look so good.",YouTube,Non-arrogant,
সাফা কবির বাংলার নাস্তিক...,The Bengali atheist of Safa poet...,YouTube,Non-arrogant,
হালার মাগি,I'm not going to tell you.,YouTube,Non-arrogant,
আজকে অন্য রকম ছবি কেন??  ভূগোলের দুইভাগ বন্ধ রেখে তিনভাগ খোলা রাখলেত আপনাকে সুন্দর লাগতো কি বলেন ভাই???,Why do you want to take a different picture today? Would you like to have two-thirds of the geography closed and three-thirds open?,Facebook,Non-arrogant,
বেশ্যা হলে এমনই হয়,That's what happens when you're a whore.,News portal,Non-arrogant,
তুই মনে হয় মুরগি চোরের মাইয়া,You seem like a chicken thief.,YouTube,Non-arrogant,
জয় বাংলা বাংলাদেশের মানুষের প্রাণের স্পন্দন,Jay Bengali The vibrations of the people of Bangladesh,News portal,Non-arrogant,
মহান আল্লাহ্ সবাইকে হেফাজত করুন,May the Almighty God protect them all.,Facebook,Non-arrogant,
এ ছেরি তোর কোন কাম নাই? যা গিয়া জিকির কর,Don't you want this knife?,YouTube,Arrogant,Contempt & Condescension
পাগলের বাচচা,The crazy kid.,News portal,Non-arrogant,
"আমাদের দেশের পপুলার নাস্তিক তসলিমা নাসরিন আফার দলভারী হইল, মানে একজন সাপোর্টার বাড়লো আর কি। but একটা বিষয় আমার মাথায় এখনো ঢুকছে না যে, তসলিমা নাসরিন এখনো তোমাকে নিয়ে কোনোপোস্ট দেয়নি কেন? আমি বারবার তার ব্লুভেরিফাই আইডিতে ঘুরে বেড়াচ্ছি 'তোমাকে উদ্দেশ্য করে সে কখন পোস্ট করবে' সেই আশায়।","Our country's popular atheist, Taslima Nasrin, has become a partisan, which means she's grown a supporter. But one thing I still can't figure out is why Taslima Nasrin hasn't posted about you yet.",Facebook,Arrogant,Knowledge & Moral Superiority
এতো রাতে আমার মুরগীটা কোথায় গেলো???,Where did my chicken go so late?,News portal,Arrogant,Mixed / Other Arrogance
ইনশাল্লাহ আবার মাঠে ফিরবেনআবার দেখা মিলবে পুরনো দিনের♥,Inshallah will return to the field. See you again.,Facebook,Non-arrogant,
"আমি হাফেজ, আমার জানানো বুঝে নিতে হবে।","I'm Hafez, I need to understand what I'm saying.",AI,Arrogant,Mixed / Other Arrogance
"কিছুই কমুনা, যার যার কবরে সে সে যাবে হয়তো কাওকে  পুড়বে।সবাই ♥আল্লাহ্ র হুকুম মানোসাফা কবির নাস্তিক হয়ছে কি না তার বিচার  ♥আল্লাহ্ করবে?আমরা কেনো অন্যর পাপের বোঝা মাথায় নেব",God will judge whether everyone is an atheist or not. Why should we bear the burden of others' sins?,Facebook,Arrogant,Knowledge & Moral Superiority
"কিরে নাস্তিক।তুই ত পরোকালেই বিশ্বাস করোস না।তুই যা দেখোস না তা বিশ্বাস করোস না,তাইলে আল্লাহরে বিশ্বাস করোছ কেমনে আবার বিচারো চাস? সরম করে না বেহাইয়ার বাচ্চা।দেওয়ালে পিঠ ঠেইকা গেলেই শুধু আল্লাহর কথা মনে পরে? নস্টামির সময় মনে থাকে না আল্লাহর কথা? আল্লাহ যেমন ক্ষমাশীল,দয়ালু তেমনি কিন্তু তার আযাবও ভয়াবহ।আল্লাহরে শুধু দয়ালু ভাবা ভুল।তুই যে নস্টামি গুলা করতেছোত এগুলারো বিচার হবে,, আল্লাহ ছাইরা দিবে না তোরে।এখনো সময় আছে ভালো হ।তওবা করে নস্টামি থেকা ফিরা আয়।দুনিয়ার মানুষের কাছে সেলিব্রেটি হওয়ার চেস্টা না কইরা আল্লাহর কাছে প্রিয় বান্দা হওয়ার চেস্টা কর।","You are an atheist, you do not believe in fools. You do not believe in what you do not see. How can you believe in God? Do not be afraid, you son of Belial. If you turn your back on God, you will remember God. Do not remember God at the time of Belial. God is forgiving and merciful, but His punishment is terrible.",Facebook,Arrogant,Knowledge & Moral Superiority
আপা আপনার পাছা আপনি দেখেন নাইতাইলে এইডা আপনার পাছা না,"Grandma, you don't see your ass. It's not your ass.",Facebook,Arrogant,Contempt & Condescension
আমার ক্রাশ ছিলো পাছা কবিরএখন কি হবে,I had a crush on the ass poet.,YouTube,Non-arrogant,
এটা শুনেছি নাস্তিক মুফায় বানাইছে,I heard it was made by an atheist.,YouTube,Non-arrogant,
জুতা মারি মাগির মুখে,Shoes in the face of magic.,YouTube,Non-arrogant,
ভুল করে পোস্ট করলে কি সবকিছু ঠিক হয়ে যায় নাকি? নিজে ভুল করে এখন মানু‌ষের নামে আল্লাহর কাছে বিচার দিচ্ছে আপনি যখন শো করছিলেন তখন কি গাঁজা খেয়ে শো শুরু করেছিলেন নাকি,Do you make a mistake and post it all right? You make a mistake and now you're judging in God's name whether or not you started the show when you were on the show.,Facebook,Arrogant,Contempt & Condescension
চুল দিয়ে ভোদা ঢাকা যায়..✋,It's covered in hair.,Facebook,Non-arrogant,
"তোর বাপ মুরগী কবিরের জন্ম হইছে,মুরগীর প্রোটেকশনে,তোর জন্ম হইছে কুত্তার প্রোটেকশনে","Your father was born a chicken pointer, you were born a chicken protector, you were born a dog protector.",Facebook,Non-arrogant,
জায়েদ তুমি নিজেই তোমাকে নায়ক মনে কর কিন্তু তোমার ছবি বাংলাদেশের মানুষ দেখে দেখে না সালা বাটপার,Zayed you consider yourself a hero but you are not seen by the people of Bangladesh,YouTube,Non-arrogant,
তুমি খুব সুন্দর,You are so beautiful.,YouTube,Non-arrogant,
কুত্তার বাচ্চা তোরে জবাই করমু তর বেচেঁ থাকার কোন অধিকার নাই,"I'll kill you, you son of a bitch. You have no right to live.",YouTube,Non-arrogant,
"জাহান্নামী কাফের, মুনাফিক, নাস্তিক","Hell-bearing infidels, hypocrites, atheists",YouTube,Non-arrogant,
এত হাসি ভাল না,That's not a good smile.,YouTube,Non-arrogant,
"শেষ বাংলাদেশ নিছেৰ পথে চলে জাচ্ছে,,,, জাবেনা কেনো সব মুৰুক্ষ, আৰ মুৰুক্ষৰা তো পাগল sagol কে নিয়ে নাছবে,,","The last Bangladesh is on the way to take over, why not all the fools, and the fools will take the crazy sagol,",YouTube,Non-arrogant,
আলম বাংলার গরিবের হিরো যার নাম হিরো আলম❤❤❤❤  জাহেদ খান তুই হয়ে যাবি খান খান তোর বাড়ি ইন্ডিয়া না পাকিস্তান,Alamo is the hero of the poor of Bengal named Alamo. Alamo is a hero of Bengal. Alamo is a hero of Bengal. Alamo is a hero of Bengal. Alamo is a hero of Bengal. Alamo is a hero of Bengal. Alamo is a hero of Bengal. Alamo is a hero of Bengal. Alamo is a hero of Bengal. Alamo is a hero of Bengal. Alamo is a hero of Bengal. Alamo is a hero of Bengal. Alamo is a hero of Bengal. Alamo is a hero of Bengal. Alamo is a hero of Bengal. Alamo is a hero of Bengal.,YouTube,Arrogant,Contempt & Condescension
"তোরেত জুতা মারা দরকার খানকির বাচ্চা,","You need to kill your shoes, Khani's kid,",YouTube,Non-arrogant,
অসাধারণ আলোকচিত্র বিদ্যা,This is an excellent photography course.,News portal,Non-arrogant,
অভিনেত্রী ত অভিনেত্রী ই,Actress and actress E,YouTube,Non-arrogant,
অনেক কষ্ট পেলাম।হিরো আলম অনেক ভালো মানুষ।,I've been through a lot.,YouTube,Non-arrogant,
"আমি সবসময় সবার চেয়ে বেশি স্মরণীয়, আমাকে কেউ ভুলতে পারবে না।","I'm always the most memorable, no one will ever forget me.",AI,Arrogant,Mixed / Other Arrogance
"সাফা কবির কে গালি দিচ্ছে আবার আগে বলে নিচ্ছে ""প্রিয়"" এমন নাস্তিক আবার প্রিয় হয় কেমনে।মুর্খ মানুষ আর কতটুকুই বা জানবে আর কতটুকুই বা বিশ্বাস করবে।","Safa is mocking the poet and repeating how a ""dear"" atheist is loved again. Fools will know little and believe little.",YouTube,Arrogant,Knowledge & Moral Superiority
"মিস সাফা কবির।। আপনি একজন অভিনেত্রী আপনি একজন সমাজ সংস্কারক ও বটে, আপনি আপনার যে ভাষ্য দিয়েছেন যে পরকালে বিশ্বাস করেন না। সেটা থেকে সাধারণ জনগন কি শিখবে? আচ্ছা পরকালে আপনি বিশ্বাস করেন না বুঝলাম আমাকে একটা কথা বলেন তো আপনি এক ফোটা নোংরা পানি থেকে আপনি এত বড় হলেন অভিনেত্রী হলেন সেটা কু করে আর কার দয়ায়? আর যদি আপনি আল্লাহ কে বিশ্বাস করেন তাহলে তাকে কেন করেন?  সে তো অদৃশ্য। আশা করি উত্তর দিয়ে সাহায্য করবেন আর নাস্তিকতা ছেড়ে দিন আপনি নাস্তিক হন  আর যাই হোন অফিসিয়ালি আপনার ফ্লাস করার অধিকার নাই সেটা।।","Miss Safa Kabeer. You're an actress. You're a social reformer, and by the way, what will the general public learn from the comments you make that you don't believe in the afterlife? Well, in the afterlife, I don't understand.",Facebook,Arrogant,Knowledge & Moral Superiority
আল্লাহ আমাদের সবাইকে কবুল করুন ।,God bless us all .,Facebook,Non-arrogant,
আরে বোকা  হুমায়ূন আহেমেদ ও তোমার মতো  নাস্তিক  ছিলো  কিন্তু  মরার আগে ঠিক ই পরকাল বিশ্বাস করে মারা গেছে হারামি,"Oh, you idiot Humayun Ahmed was an atheist like you, but he died believing in the afterlife just before he died, you son of a bitch.",YouTube,Arrogant,Knowledge & Moral Superiority
চোদার মতো মাল,It's like shit.,YouTube,Non-arrogant,
নাস্তিক তোকে ফাঁশি দেওয়া হবে।,You atheist will be hanged.,Facebook,Non-arrogant,
"আমরা মানুষ ক্ষমা করার কে, যদি আল্লাহ চায় তাহলে যে কাউকে ক্ষমা করে, তবে পরকালে বিশ্বাস না করার মাধ্যমে পুরো ইসলাম কে অবিশ্বাস করা হলো, ব্যাক্তিগত ভাবে যে কেউ নাস্তিক বা যে কোনো বিশ্বাসের অনুসারী হতে পারে, এটা যার যার ব্যাপার, সেই বিচার মহান আল্লাহ তায়ালা শেষ বিচারের দিন দেখবেন। আল্লাহ মহান তিনি চাইলে যে কাউকে ক্ষমা করেন। আল্লাহ সবাইকে হেদায়েত দান করুক।","Who can forgive people, if Allah wills, and who can forgive anyone who disbelieves in the Hereafter and disbelieves in the whole of Islam? Whoever is an atheist or a follower of any religion, he will be judged by Allah, the Most High, on the Day of Judgment.",Facebook,Arrogant,Knowledge & Moral Superiority
যেখানেই থাকবেন ভালো থাকবেন স্যার❤❤,"Stay where you are, sir.",YouTube,Non-arrogant,
"আপনি তো ফাসিক, নাস্তিক হয়ে গেলেন।ইসলামের ১টি স্তম্ভ আপনি তো অস্বীকার করেছেন। আবার প্রশ্ন কর্তাকে হেয় করে বলেছেন এটা কোন প্রশ্ন হলো। আপনি কালেমা পড়ে মুসলমান হোন। আপনি তওবা করে মসজিদের কোন হুজুরের কাছে কালেমা পড়ে মুসলিম হোন।","You've become a fascist, you've become an atheist, you've denied one of the pillars of Islam, you've insulted the questioner and you've said it's a question.",News portal,Arrogant,Knowledge & Moral Superiority
নাস্তিক সাফা কাবির জানুয়ার তুই,You're the January of atheist Safa Kabir.,YouTube,Non-arrogant,
আজকাল নাস্তিক কি রোজাও শুরু করে দিছেঢং,Atheists have begun to rise nowadays.,YouTube,Non-arrogant,
হেডা,The head.,YouTube,Non-arrogant,
আছি থাকবো ভাইয়া,"I'll be right there, bro.",YouTube,Non-arrogant,
চলচ্চিত্রের ভাইদের ভিতর অনেক ভুলক্রটি আছে তবে আমার বাড়ির পাশে ঢাকাতে আছে নায়ক নায়িকা তারপরও অনেক অহংকার তার মা আজও পর্যন্ত ছাগল তাহলে আমার বাড়ির সামনের গাছ গাছালি খেয়ে ফেলে আসলে এটা ঠিক নয় কাউকে ছোট করা ঠিক নয়,"There's a lot of wrongdoing in the brothers in the movie, but the heroine is still very proud, her mother is still a goat, so eating the trees in front of my house is not right.",News portal,Non-arrogant,
ধন্যবাদ  ভাই  তোমাকে,"Thank you, brother.",News portal,Non-arrogant,
ও হ্যালো বেশ্যা কবির উরফে খানকি কবির উরফে মাগি কবির।।।,"He's a magician poet, known as the ""Hello Hooker Poet"" or ""Khanki Poet"".",YouTube,Non-arrogant,
"তুই নাস্তিক তর কোনো ক্ষমা নাই,,,, ক্ষমা চাইতে হলে নামাজ পড়ে আল্লাহর কাছে ক্ষমা চা তা না হলে তুই আরবের ফেরাউন এর মতো হবি তকে দেখার জন্য অনেক মানুষ যাবে তকে পাথর মারতে পারলে আল্লার কাছে ক্ষমা চা মাতারি তকে সামনে পাইলে আগুনে প্ুড়িয়ে মারতাম","You're an atheist with no forgiveness, and if you ask God for forgiveness, you'll be like Pharaoh of Arabia, and many people will come to see you. If you could stone him, if you could ask God for forgiveness, you'd be burned at the stake.",Facebook,Arrogant,Knowledge & Moral Superiority
রাস্তায় লেংটা হয়া থাক কেউ চুদবে না......কারন কেউ বিশ্বাসই করবে না তুই মাগী...,No one's gonna fuck you on the street because no one's gonna believe you're a witch.,Facebook,Non-arrogant,
ভাদাইমা ছবি আরো বালো,The picture of Vadima is even bigger.,YouTube,Non-arrogant,
তর নাটক গুলো খুব ভালো লাগতো আজ থেকে আমার কাছে সবচেয়ে ও ঘৃনার পাত্র তুই তসলিমা নাসরিনের মতন তরে জুতা পিটা আর কুত্তা পিটা দিয়া এই দেশ থেকে বাহির করে দিব,"I loved your plays. From now on, I'll drive you out of this country with your shoes and your son of a bitch, like Taslima Nazarin.",YouTube,Non-arrogant,
এগিয়ে যাও বাংলাদেশ,Go ahead Bangladesh,YouTube,Non-arrogant,
অবুঝ বাঙালি গালাগালি করে ফেসবুক গরম করা ছাড়া আর কিছুই পারে না।এখানে গালাগালি করে হচ্ছেটা কি???,There's nothing left to do except to make fun of Facebook by making fun of the unconscious Bengalis.,Facebook,Arrogant,Mixed / Other Arrogance
